#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1520621175965364459,-0.0793781088,-0.0495083772,-0.0129732919,-0.2031266446,-0.2853749201,10.1352595222
1520621175970381459,-0.0766342353,-0.0643671767,-0.0133623491,-0.3630681504,-0.4124713482,10.1404266765
1520621175975395459,-0.0718851539,-0.0797933889,-0.0191705042,-0.5254147916,-0.5959271889,10.0712949869
1520621175980411459,-0.0701497531,-0.0887877416,-0.0333110735,-0.7743463082,-0.7458003542,10.0912962603
1520621175985426459,-0.0664049143,-0.0928022747,-0.0568866905,-0.9366929495,-0.9388493183,10.0965511384
1520621175990442459,-0.0656845764,-0.0973738063,-0.0904713511,-0.9835930903,-1.0215863548,10.0633861453
1520621175995458459,-0.0647179068,-0.1039776468,-0.1267774990,-0.8164361782,-1.0168028118,10.0919702079
1520621176000472459,-0.0587260644,-0.1155527229,-0.1558260346,-0.6216202087,-0.8825142573,9.9539721801
1520621176005488459,-0.0484602601,-0.1294739553,-0.1786777336,-0.5687072293,-0.7686000381,9.8011052124
1520621176010504459,-0.0336727979,-0.1466073865,-0.1983157368,-0.3582578795,-0.5875462247,9.7628537947
1520621176015520459,-0.0098339323,-0.1669723688,-0.2069026143,-0.0528056804,-0.3645298956,9.7120153112
1520621176020535459,0.0215445842,-0.1934833381,-0.2044577965,0.1432128568,-0.1834749582,9.5390956555
1520621176025550459,0.0546890454,-0.2188455625,-0.1955142519,0.2706850343,-0.0335923332,9.4575208193
1520621176030567459,0.0931151767,-0.2427568095,-0.1835933883,0.3909418056,0.1126934324,9.3783440093
1520621176035582459,0.1330651042,-0.2591104072,-0.1645833315,0.4606907330,0.2122166553,9.3334065906
1520621176040598459,0.1790582980,-0.2681843131,-0.1428234399,0.4895523581,0.3225353264,9.2714244605
1520621176045613459,0.2212839500,-0.2740464533,-0.1240080984,0.5184139832,0.3681004146,9.2710991042
1520621176050627459,0.2685438036,-0.2746653450,-0.1038093463,0.4775266810,0.3681035991,9.2029305828
1520621176055645459,0.3122936554,-0.2697514944,-0.0827501839,0.4354368110,0.3980853878,9.1789060033
1520621176060659459,0.3545398543,-0.2601687978,-0.0643581106,0.4258162693,0.3549170818,9.2150682025
1520621176065676459,0.3945221723,-0.2491162244,-0.0510910935,0.3596750451,0.3165497396,9.2215601193
1520621176070690459,0.4309937436,-0.2319430407,-0.0388530410,0.3187877429,0.2565959028,9.2196922702
1520621176075706459,0.4599289062,-0.2112689119,-0.0292797688,0.2851158469,0.1582690106,9.2979795426
1520621176080722459,0.4823189615,-0.1940721044,-0.0278374156,0.3211928783,0.0707289499,9.3453616548
1520621176085737459,0.5001803139,-0.1809571809,-0.0261472388,0.2815081438,-0.0036146656,9.3853333151
1520621176090753459,0.5137670379,-0.1684208728,-0.0266179410,0.1804924559,-0.0899449087,9.4596158014
