#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1520531124153717567,-0.3594956053,0.0297280333,-0.0451253615,0.8539303751,0.9136831762,10.3899324039
1520531124158732567,-0.3597696897,-0.0018078813,-0.0207453114,0.9453255213,0.9856244834,10.3087847264
1520531124163746567,-0.3512484131,-0.0371451028,0.0098120588,1.0415309384,1.0012058161,10.2090508844
1520531124168762567,-0.3397130521,-0.0756958422,0.0438564711,1.1437491940,1.0071935571,10.1789965090
1520531124173778567,-0.3239009105,-0.1133824091,0.0822283526,1.0667848603,0.9820176025,10.1146901273
1520531124178794567,-0.3015568458,-0.1519383845,0.1197697924,1.0246949904,0.9160681573,10.0919212389
1520531124183810567,-0.2812254494,-0.1884387020,0.1511079720,0.8707663231,0.7637893120,10.0296500747
1520531124188826567,-0.2578705401,-0.2161831904,0.1776374173,0.7312684684,0.6462844151,9.9881231302
1520531124193841567,-0.2317467135,-0.2366245003,0.1977242043,0.6013911554,0.5419693135,9.9232468034
1520531124198857567,-0.2061184318,-0.2468449672,0.2095028099,0.4186008630,0.3465236608,9.8717579524
1520531124203873567,-0.1819891730,-0.2450944926,0.2121768020,0.2574567895,0.1906479562,9.8641812924
1520531124208888567,-0.1578574365,-0.2363274796,0.2062466794,0.1275794765,0.0707440291,9.8644002285
1520531124213903567,-0.1382542107,-0.2254963236,0.1906008672,0.0157406792,-0.0443647411,9.8748982069
1520531124218919567,-0.1199115130,-0.2126033867,0.1665860274,0.0109304084,-0.1378973195,9.9226841377
1520531124223934567,-0.1045950453,-0.2064083765,0.1406318361,0.1480231276,-0.1379079968,9.9666733755
1520531124228951567,-0.0887797670,-0.2042983802,0.1168099553,0.2177720550,-0.0731598462,10.0007956566
1520531124233966567,-0.0722047038,-0.2004514362,0.0973287471,0.3187877429,-0.0156089733,9.8951633476
1520531124238982567,-0.0538710349,-0.1977729833,0.0791881091,0.3825238317,0.0359491009,9.7817647345
