#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1520530962735370731,-0.2031777681,0.0127797054,-0.0049627179,0.2105566487,0.1270971665,9.5811366398
1520530962740386731,-0.2051591477,0.0243905930,0.0113626931,0.1973284039,0.1306956180,9.6126397741
1520530962745401731,-0.2076382441,0.0386193738,0.0293323206,0.1732770496,0.1151086657,9.5815111899
1520530962750418731,-0.2070904010,0.0621780116,0.0457442108,0.1925181330,0.0959209204,9.3338059562
1520530962755433731,-0.2007539345,0.0903930535,0.0651569406,0.1155537994,0.1414942507,9.3066191900
1520530962760449731,-0.1946914190,0.1040482402,0.0809418862,-0.0335645970,0.0347823669,9.4534426825
1520530962765464731,-0.1893999517,0.1075155996,0.0925922356,-0.1429982589,-0.0623394844,9.6428698797
1520530962770479731,-0.1863820057,0.1034111742,0.1022951640,-0.1165417692,-0.1270951278,9.7298363093
1520530962775497731,-0.1826154401,0.0963975694,0.1103511860,-0.0010952688,-0.1570826297,9.8298483814
1520530962780512731,-0.1796070403,0.0855927567,0.1194618916,0.0686536586,-0.1235121301,9.9685940211
1520530962785528731,-0.1756043126,0.0666288426,0.1287790298,0.1095409608,-0.0227875190,9.9832056961
1520530962790543731,-0.1663138851,0.0543644697,0.1397607732,0.0915024451,0.0239803624,10.0158756984
1520530962795559731,-0.1582806496,0.0438581096,0.1469705462,0.0638433877,0.0035971294,9.9859490507
1520530962800575731,-0.1477355627,0.0351126962,0.1498602561,0.0710587940,-0.0131913985,9.9452201527
1520530962805590731,-0.1374354392,0.0310293367,0.1527860021,0.0782742003,-0.0923352284,9.8882820450
1520530962810606731,-0.1281373433,0.0292766597,0.1557313997,0.0770716326,-0.1055256794,9.9150359237
1520530962815621731,-0.1150702001,0.0289903949,0.1557049070,0.0638433877,-0.1139186321,9.9209835845
1520530962820638731,-0.1057871861,0.0193849042,0.1531793634,0.0939075805,-0.1415012033,9.9474471639
1520530962825654731,-0.0942451681,0.0071549252,0.1517117950,0.1143512317,-0.1750787274,9.9774966622
1520530962830669731,-0.0852129275,-0.0030378036,0.1508055473,0.1179589348,-0.2206463445,9.9821545577
1520530962835685731,-0.0749259100,-0.0149805326,0.1506952652,0.0494125752,-0.2554160781,9.9584506338
1520530962840701731,-0.0641369063,-0.0257502422,0.1478874829,-0.0888827118,-0.3141631880,9.9691511645
1520530962845715731,-0.0528471437,-0.0344647661,0.1394128651,-0.1622393423,-0.4256775341,9.9839196489
