#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403636859551666432.0000000000,4.6007251330,-1.8992266135,0.7254218941,0.4553496982,0.6652088523,0.4806972609,-0.345085465526
1403636859601666560.0000000000,4.5986132409,-1.8957845851,0.7476130289,0.4578604366,0.6661437955,0.4802166833,-0.340599767178
1403636859651666432.0000000000,4.5960790067,-1.8926073207,0.7705000109,0.4624068450,0.6658715875,0.4786942508,-0.33711534057
1403636859701666560.0000000000,4.5932628122,-1.8903267716,0.7940387527,0.4673689069,0.6646097000,0.4756961562,-0.337006555515
1403636859751666432.0000000000,4.5905739813,-1.8879864657,0.8175848138,0.4738624301,0.6620928672,0.4732541966,-0.33633004313
1403636859801666560.0000000000,4.5883869808,-1.8860577519,0.8402761439,0.4802112544,0.6594949047,0.4715534337,-0.33481484585
1403636859851666432.0000000000,4.5867636625,-1.8844915355,0.8622409401,0.4858023464,0.6571830669,0.4706510208,-0.332556932742
1403636859901666560.0000000000,4.5860565127,-1.8839241257,0.8831788284,0.4889187907,0.6559270013,0.4698856203,-0.33155043196
1403636859951666432.0000000000,4.5860467146,-1.8836141293,0.9021344939,0.4907032984,0.6555303130,0.4687546958,-0.331299436868
1403636860001666560.0000000000,4.5867605505,-1.8827386843,0.9170741102,0.4917685232,0.6558961233,0.4678833602,-0.330225917025
1403636860051666432.0000000000,4.5873967418,-1.8810180258,0.9263528689,0.4918892338,0.6571993132,0.4671897297,-0.328432338196
1403636860101666560.0000000000,4.5882292257,-1.8787878358,0.9278415538,0.4904044646,0.6598095820,0.4659323709,-0.327202998673
1403636860151666432.0000000000,4.5891755842,-1.8764623463,0.9211182081,0.4880116279,0.6621457515,0.4658908619,-0.326118628134
1403636860201666560.0000000000,4.5907776864,-1.8745791881,0.9060767797,0.4846225920,0.6647731418,0.4664992160,-0.3249555273
1403636860251666432.0000000000,4.5928801063,-1.8739484164,0.8847568274,0.4791198408,0.6681090846,0.4675566709,-0.324754043478
1403636860301666560.0000000000,4.5953053145,-1.8738760549,0.8587300054,0.4722389992,0.6726900331,0.4689491326,-0.323365363228
1403636860351666432.0000000000,4.5979561124,-1.8734197831,0.8294532968,0.4646976572,0.6783317812,0.4709599194,-0.319560379929
1403636860401666560.0000000000,4.6009032293,-1.8736109762,0.7999149085,0.4561419063,0.6848722254,0.4727842984,-0.315213583874
1403636860451666432.0000000000,4.6041696804,-1.8742072936,0.7707819998,0.4474409662,0.6912571226,0.4749813310,-0.310407647084
1403636860501666560.0000000000,4.6072545695,-1.8750770763,0.7434868878,0.4380260768,0.6975416711,0.4770071398,-0.306647944227
1403636860551666432.0000000000,4.6100552722,-1.8762165399,0.7195651896,0.4291716999,0.7023640488,0.4793990700,-0.304422283426
1403636860601666560.0000000000,4.6129975649,-1.8770004728,0.6991733468,0.4222902498,0.7063530274,0.4813475007,-0.301729894501
1403636860651666432.0000000000,4.6157729415,-1.8779571913,0.6826182664,0.4171681133,0.7080534120,0.4834497069,-0.301508726102
1403636860701666560.0000000000,4.6179924359,-1.8784334210,0.6685783310,0.4146381379,0.7078010246,0.4860098444,-0.301475298033
1403636860751666432.0000000000,4.6201836764,-1.8786693575,0.6611674105,0.4152340195,0.7063254235,0.4885342181,-0.300032369776
1403636860801666560.0000000000,4.6219347314,-1.8786362172,0.6597550726,0.4168594273,0.7039402596,0.4914868648,-0.298558186167
1403636860851666432.0000000000,4.6229967627,-1.8783765721,0.6651911615,0.4182496400,0.7017227154,0.4942209594,-0.297318200996
1403636860901666560.0000000000,4.6233121159,-1.8778027308,0.6775860961,0.4188659597,0.6997897782,0.4965897029,-0.29705932271
1403636860951666432.0000000000,4.6230756935,-1.8769846469,0.6963656488,0.4193750601,0.6978553397,0.4985029024,-0.297686647473
1403636861001666560.0000000000,4.6218727666,-1.8755941006,0.7202896893,0.4218198496,0.6954813115,0.4990660434,-0.298842507218
1403636861051666432.0000000000,4.6197797471,-1.8738751236,0.7478137832,0.4257000318,0.6928182829,0.4976826447,-0.301818314487
1403636861101666560.0000000000,4.6167828148,-1.8717432087,0.7775421884,0.4317269700,0.6893374233,0.4949858023,-0.305638341397
1403636861151666432.0000000000,4.6133092988,-1.8692395931,0.8080543505,0.4392490650,0.6850481124,0.4913280599,-0.31042886491
1403636861201666560.0000000000,4.6095237190,-1.8664509270,0.8393565887,0.4477734366,0.6795519629,0.4878967506,-0.315697386712
1403636861251666432.0000000000,4.6061386731,-1.8637047544,0.8704068236,0.4564913913,0.6738085647,0.4840230040,-0.321433289142
1403636861301666560.0000000000,4.6031024282,-1.8611831738,0.9009661133,0.4642180279,0.6686707404,0.4795039649,-0.327806362227
1403636861351666432.0000000000,4.6077357258,-1.8616316080,0.9331627599,0.4713334528,0.6644234483,0.4750385865,-0.332753059946
1403636861401666560.0000000000,4.6062444069,-1.8593691560,0.9571163232,0.4769946456,0.6614985834,0.4700324423,-0.337587374418
1403636861451666432.0000000000,4.6051334750,-1.8570311073,0.9741852060,0.4822384764,0.6586561201,0.4666316457,-0.340401343322
1403636861501666560.0000000000,4.6042096483,-1.8551822270,0.9830963842,0.4855708053,0.6572228518,0.4637325399,-0.342390489819
1403636861551666432.0000000000,4.6034989209,-1.8533161351,0.9830590642,0.4873767661,0.6571633930,0.4625637647,-0.34151855937
1403636861601666560.0000000000,4.6031617789,-1.8520765419,0.9745049976,0.4858029561,0.6584391783,0.4632666480,-0.34034886387
1403636861651666432.0000000000,4.6031376316,-1.8516556825,0.9584918130,0.4818493410,0.6608222260,0.4649882842,-0.339000138342
1403636861701666560.0000000000,4.6032778567,-1.8518703248,0.9365410985,0.4775263089,0.6632593451,0.4675277426,-0.336858242086
1403636861751666432.0000000000,4.6038124948,-1.8525121201,0.9110132842,0.4733446022,0.6654518903,0.4705064829,-0.334278804038
1403636861801666560.0000000000,4.6047365188,-1.8536311372,0.8835868833,0.4697508807,0.6674682305,0.4735087436,-0.331073618754
1403636861851666432.0000000000,4.6060475251,-1.8557537263,0.8554024216,0.4647905089,0.6697266650,0.4761673344,-0.329697811114
1403636861901666560.0000000000,4.6075257592,-1.8586579808,0.8267914316,0.4581952473,0.6728868043,0.4794124363,-0.327786790216
1403636861951666432.0000000000,4.6090950028,-1.8618925170,0.7980015929,0.4501117017,0.6775435472,0.4825424943,-0.324787528822
1403636862001666560.0000000000,4.6105810039,-1.8654619496,0.7695507435,0.4413105570,0.6826352331,0.4855388788,-0.321723682784
1403636862051666432.0000000000,4.6119951176,-1.8693284349,0.7429237139,0.4332730880,0.6875698012,0.4875018915,-0.319161566512
1403636862101666560.0000000000,4.6144829334,-1.8721934567,0.7155465186,0.4272987511,0.6913625638,0.4888715353,-0.316919871088
1403636862151666432.0000000000,4.6154803373,-1.8751953647,0.6944550621,0.4220300027,0.6940244316,0.4897533259,-0.316800323321
1403636862201666560.0000000000,4.6169867540,-1.8772280629,0.6776676886,0.4190724282,0.6946189528,0.4923527314,-0.315391182776
1403636862251666432.0000000000,4.6184128837,-1.8779953780,0.6672518363,0.4181567945,0.6944725973,0.4958284949,-0.311459163331
1403636862301666560.0000000000,4.6196143191,-1.8784104477,0.6641775135,0.4169055298,0.6944860532,0.4991105506,-0.30784340074
1403636862351666432.0000000000,4.6201439888,-1.8780276390,0.6695560814,0.4149744404,0.6947221134,0.5022835601,-0.304743538316
1403636862401666560.0000000000,4.6200793584,-1.8774882495,0.6837827021,0.4132492350,0.6950986885,0.5036570197,-0.303961329092
1403636862451666432.0000000000,4.6195601867,-1.8765777957,0.7049616054,0.4135075890,0.6945451336,0.5037784180,-0.304673328003
1403636862501666560.0000000000,4.6182124321,-1.8746441523,0.7306395871,0.4167667004,0.6930499321,0.5029454122,-0.305013477344
1403636862551666432.0000000000,4.6155579611,-1.8713553217,0.7596185636,0.4227409001,0.6915330872,0.5005217050,-0.304220550841
1403636862601666560.0000000000,4.6121870579,-1.8670209054,0.7907733128,0.4315275036,0.6889792999,0.4981414344,-0.301573621545
1403636862651666432.0000000000,4.6087701156,-1.8633713658,0.8235490459,0.4395552418,0.6865649089,0.4946406207,-0.301248189535
1403636862701666560.0000000000,4.6054156116,-1.8604541513,0.8574274173,0.4467628632,0.6838331508,0.4916302072,-0.301786191434
1403636862751666432.0000000000,4.6020178316,-1.8588818680,0.8918010380,0.4499755866,0.6836111397,0.4863475882,-0.306045428938
1403636862801666560.0000000000,4.5989975726,-1.8567762240,0.9261958768,0.4525228628,0.6837250026,0.4829582069,-0.307399658111
1403636862851666432.0000000000,4.5963534149,-1.8552814098,0.9598407326,0.4535619001,0.6854364221,0.4777748645,-0.310144632336
1403636862901666560.0000000000,4.5946748158,-1.8539609999,0.9910915600,0.4551999578,0.6859042825,0.4738763912,-0.312681114706
1403636862951666432.0000000000,4.5936622849,-1.8533794838,1.0175920982,0.4567245995,0.6858315849,0.4695055422,-0.317178535151
1403636863001666560.0000000000,4.5986771696,-1.8574039087,1.0372940235,0.4595558310,0.6834106687,0.4676459553,-0.321038247943
1403636863051666432.0000000000,4.5993688698,-1.8565030888,1.0463283558,0.4645850564,0.6795983619,0.4674563267,-0.322166687476
1403636863101666560.0000000000,4.5998857062,-1.8550831824,1.0459570323,0.4702874606,0.6759457806,0.4679087655,-0.320918047607
1403636863151666432.0000000000,4.6003077330,-1.8540553534,1.0370488107,0.4750632127,0.6726024496,0.4692419429,-0.3189559337
1403636863201666560.0000000000,4.6007316073,-1.8537473846,1.0199693059,0.4776842972,0.6708214239,0.4710373392,-0.316133127821
1403636863251666432.0000000000,4.6008997402,-1.8543502862,0.9964592282,0.4780714938,0.6703119607,0.4727500812,-0.314065093275
1403636863301666560.0000000000,4.6011523059,-1.8546846716,0.9678042050,0.4791518280,0.6699282465,0.4747451744,-0.310204270971
1403636863351666432.0000000000,4.6015910639,-1.8554167734,0.9362818716,0.4790965549,0.6706145724,0.4754250931,-0.307755693893
1403636863401666560.0000000000,4.6016933434,-1.8555208614,0.9036997322,0.4797514466,0.6719267730,0.4756174054,-0.303547434377
1403636863451666432.0000000000,4.6024121966,-1.8565444601,0.8702294426,0.4784338737,0.6740969896,0.4752569132,-0.301372101535
1403636863501666560.0000000000,4.6036072180,-1.8579943372,0.8356191279,0.4739294749,0.6784074808,0.4744137184,-0.30014291038
1403636863551666432.0000000000,4.6057745030,-1.8608701082,0.8018806550,0.4660129986,0.6822275226,0.4753033774,-0.302463538106
1403636863601666560.0000000000,4.6087707123,-1.8634885357,0.7696588864,0.4575196366,0.6865844832,0.4765366728,-0.303628603653
1403636863651666432.0000000000,4.6119661555,-1.8661785498,0.7394207873,0.4489926459,0.6908923950,0.4780410308,-0.304220438597
1403636863701666560.0000000000,4.6154802010,-1.8667938983,0.7103942970,0.4409229411,0.6950934211,0.4792491265,-0.304552738795
1403636863751666432.0000000000,4.6174843619,-1.8680799155,0.6882941743,0.4341365175,0.6997062462,0.4793820405,-0.303528437555
1403636863801666560.0000000000,4.6195019504,-1.8688424769,0.6726648754,0.4280777609,0.7032738759,0.4811403093,-0.3010968097
1403636863851666432.0000000000,4.6215597678,-1.8692760797,0.6654059853,0.4235692582,0.7058081948,0.4832636160,-0.298127746439
1403636863901666560.0000000000,4.6233373459,-1.8693198020,0.6673085009,0.4200181663,0.7071055476,0.4854387349,-0.296539574351
1403636863951666432.0000000000,4.6245645262,-1.8689966766,0.6787760340,0.4172509404,0.7073661363,0.4872435550,-0.296864481014
1403636864001666560.0000000000,4.6250386263,-1.8682235276,0.6989575322,0.4170752233,0.7062784153,0.4884910546,-0.297650042406
1403636864051666432.0000000000,4.6251040047,-1.8675570508,0.7256468433,0.4186719202,0.7039610500,0.4891252664,-0.299848523589
1403636864101666560.0000000000,4.6244962067,-1.8659413273,0.7573005591,0.4229968054,0.7004905981,0.4906243263,-0.299456833173
1403636864151666432.0000000000,4.6230858401,-1.8638721106,0.7919484387,0.4286783760,0.6976143998,0.4906465460,-0.298051952016
1403636864201666560.0000000000,4.6207807065,-1.8617681674,0.8282647684,0.4340882282,0.6954946497,0.4896426645,-0.296824297338
1403636864251666432.0000000000,4.6182364869,-1.8605461014,0.8636726224,0.4376463472,0.6941709529,0.4884199916,-0.296712444345
1403636864301666560.0000000000,4.6156671321,-1.8601742527,0.8976967209,0.4390144745,0.6930696448,0.4876973197,-0.298449464785
1403636864351666432.0000000000,4.6133314965,-1.8602235507,0.9294722134,0.4403643713,0.6922698613,0.4863190373,-0.300558569428
1403636864401666560.0000000000,4.6107541253,-1.8601698146,0.9590796834,0.4433457812,0.6912573751,0.4832725799,-0.303406284116
1403636864451666432.0000000000,4.6102646170,-1.8613458704,0.9883650269,0.4486352807,0.6897373740,0.4780933009,-0.30727111068
1403636864501666560.0000000000,4.6073560571,-1.8611338473,1.0126726216,0.4554033423,0.6874101400,0.4711870777,-0.313141873547
1403636864551666432.0000000000,4.6044125314,-1.8615760590,1.0317990062,0.4608107711,0.6845809246,0.4642904356,-0.321615892509
1403636864601666560.0000000000,4.6020921742,-1.8614447524,1.0433393592,0.4673694879,0.6811406626,0.4597171796,-0.325995819425
1403636864651666432.0000000000,4.6007829464,-1.8610639022,1.0462176933,0.4729466334,0.6777672697,0.4577123976,-0.327799284864
1403636864701666560.0000000000,4.6006136076,-1.8605461792,1.0398161657,0.4771092877,0.6749334077,0.4591788902,-0.325555478273
1403636864751666432.0000000000,4.6009141963,-1.8600430034,1.0254970228,0.4786789898,0.6737737828,0.4619672846,-0.32168547122
1403636864801666560.0000000000,4.6014584088,-1.8604207395,1.0045794062,0.4770841788,0.6742334460,0.4649869123,-0.318727341169
1403636864851666432.0000000000,4.6019694521,-1.8614000303,0.9788185957,0.4743795336,0.6758045818,0.4673132670,-0.316022998854
1403636864901666560.0000000000,4.6020668840,-1.8623091705,0.9502380908,0.4716856867,0.6782182411,0.4684912154,-0.313127148995
1403636864951666432.0000000000,4.6022315190,-1.8624225956,0.9202050304,0.4696744380,0.6806755764,0.4701876768,-0.308237295929
1403636865001666560.0000000000,4.6024896216,-1.8624733206,0.8889463027,0.4677547385,0.6836834550,0.4714060559,-0.302586794811
1403636865051666432.0000000000,4.6028551023,-1.8629713670,0.8579407473,0.4637943775,0.6863577039,0.4737499708,-0.298946220854
1403636865101666560.0000000000,4.6024287002,-1.8618899588,0.8269197611,0.4590908843,0.6899103199,0.4749157196,-0.296166118502
1403636865151666432.0000000000,4.6021476723,-1.8630780572,0.7988339533,0.4516057656,0.6950300917,0.4727538541,-0.299147451159
1403636865201666560.0000000000,4.6021535673,-1.8647125017,0.7736766357,0.4438953585,0.6991923615,0.4706949338,-0.30419275398
1403636865251666432.0000000000,4.6026679869,-1.8662974002,0.7516140347,0.4369393258,0.7026605250,0.4683982965,-0.309766441081
1403636865301666560.0000000000,4.6031522602,-1.8673036223,0.7323388248,0.4329717245,0.7043907800,0.4671990553,-0.313199868383
1403636865351666432.0000000000,4.6034053786,-1.8675669036,0.7168912801,0.4322565029,0.7054426232,0.4660260347,-0.31356778529
1403636865401666560.0000000000,4.6036327784,-1.8677777196,0.7049569619,0.4321339477,0.7054104097,0.4674771282,-0.31164328914
1403636865451666432.0000000000,4.6039002864,-1.8678287899,0.6980747046,0.4316561887,0.7051880540,0.4709399745,-0.307568339868
1403636865501666560.0000000000,4.6041133467,-1.8677045895,0.6971970521,0.4302445103,0.7057337377,0.4752217850,-0.301651799081
1403636865551666432.0000000000,4.6041891707,-1.8676791218,0.7039513666,0.4272273069,0.7063248418,0.4800466311,-0.296879231471
1403636865601666560.0000000000,4.6039002134,-1.8683121231,0.7181467814,0.4243769042,0.7069287193,0.4832867714,-0.294261661848
1403636865651666432.0000000000,4.6034689728,-1.8699719340,0.7387578851,0.4222607256,0.7066385267,0.4850260126,-0.295140033185
1403636865701666560.0000000000,4.6027489077,-1.8718506741,0.7644667069,0.4227515885,0.7048576449,0.4854053606,-0.298057764265
1403636865751666432.0000000000,4.6013277300,-1.8733188685,0.7935373579,0.4258001222,0.7026374992,0.4836672818,-0.301762756338
1403636865801666560.0000000000,4.5993107087,-1.8740261457,0.8252349965,0.4304004575,0.6997478919,0.4809957889,-0.306188479455
1403636865851666432.0000000000,4.5970330412,-1.8740379559,0.8584234819,0.4356613211,0.6969826126,0.4770992322,-0.311112156154
1403636865901666560.0000000000,4.5949050929,-1.8737209323,0.8926101641,0.4420836269,0.6931392916,0.4730412118,-0.316783839876
1403636865951666432.0000000000,4.5931217645,-1.8736252397,0.9270066687,0.4492073659,0.6887684780,0.4677508285,-0.324067722055
1403636866001666560.0000000000,4.5915631538,-1.8732675916,0.9608775817,0.4578036844,0.6836263220,0.4621269072,-0.330922287048
1403636866051666432.0000000000,4.5904025890,-1.8730808592,0.9930424367,0.4677131228,0.6783340007,0.4553565380,-0.337280064062
1403636866101666560.0000000000,4.5901513337,-1.8735641894,1.0273479234,0.4774954548,0.6727722934,0.4500708334,-0.34177737893
1403636866151666432.0000000000,4.5904434574,-1.8734759403,1.0526136161,0.4858408966,0.6676313272,0.4465366475,-0.344720258467
1403636866201666560.0000000000,4.5914709725,-1.8736507815,1.0709095460,0.4913836921,0.6639849067,0.4449046643,-0.346014378876
1403636866251666432.0000000000,4.5923488271,-1.8736736473,1.0819070600,0.4946192785,0.6623942051,0.4443855143,-0.34511911141
1403636866301666560.0000000000,4.5933931274,-1.8737311276,1.0841122563,0.4957429355,0.6624976244,0.4458926570,-0.341343782759
1403636866351666432.0000000000,4.5938220699,-1.8736707574,1.0784456656,0.4953760010,0.6645123626,0.4474379220,-0.335894691159
1403636866401666560.0000000000,4.5940682385,-1.8733462804,1.0654141151,0.4934520512,0.6667654923,0.4504649348,-0.330166918237
1403636866451666432.0000000000,4.5937714431,-1.8731061043,1.0461796668,0.4906306646,0.6694745087,0.4525894964,-0.325957329839
1403636866501666560.0000000000,4.5940448919,-1.8730587132,1.0215876891,0.4876354676,0.6714458917,0.4554436702,-0.322402122297
1403636866551666432.0000000000,4.5942675219,-1.8722176928,0.9936692700,0.4848155443,0.6737349357,0.4575753023,-0.318841601914
1403636866601666560.0000000000,4.5946494235,-1.8707478695,0.9649446974,0.4816283656,0.6766043229,0.4592965793,-0.315098968462
1403636866651666432.0000000000,4.5958591200,-1.8687256109,0.9370524879,0.4789084718,0.6795805519,0.4613515563,-0.309792980282
1403636866701666560.0000000000,4.5978922247,-1.8668804355,0.9117119458,0.4753250040,0.6824895153,0.4634831295,-0.305708342607
1403636866751666432.0000000000,4.6015158853,-1.8660924682,0.8895830837,0.4709397711,0.6839581582,0.4669325114,-0.303958878142
1403636866801666560.0000000000,4.6033423276,-1.8632665820,0.8690730324,0.4661705699,0.6852476843,0.4699662787,-0.30373065019
1403636866851666432.0000000000,4.6074047632,-1.8641178197,0.8512700491,0.4594071567,0.6866047768,0.4730247793,-0.306213165942
1403636866901666560.0000000000,4.6111841270,-1.8653321237,0.8349255348,0.4513618833,0.6894195331,0.4754878279,-0.308033250052
1403636866951666432.0000000000,4.6149711122,-1.8671148651,0.8203436099,0.4420679918,0.6930775352,0.4779602565,-0.309472800118
1403636867001666560.0000000000,4.6186500634,-1.8685315810,0.8080771037,0.4348771143,0.6967425367,0.4800791251,-0.308148935791
1403636867051666432.0000000000,4.6218337476,-1.8695309191,0.7982844983,0.4300093128,0.7002314424,0.4812318047,-0.305260328355
1403636867101666560.0000000000,4.6252020132,-1.8708405982,0.7909811085,0.4262056437,0.7019312716,0.4834752347,-0.303138477628
1403636867151666432.0000000000,4.6291915463,-1.8726119010,0.7863605468,0.4220533661,0.7034250745,0.4846817293,-0.303558465466
1403636867201666560.0000000000,4.6341609494,-1.8752345323,0.7836058241,0.4176737434,0.7033281044,0.4872277521,-0.30575699375
1403636867251666432.0000000000,4.6396981965,-1.8786072029,0.7822552228,0.4127417128,0.7023302318,0.4908673362,-0.308910638197
1403636867301666560.0000000000,4.6444193349,-1.8807740737,0.7826198014,0.4089471707,0.7017714019,0.4936582302,-0.31077429548
1403636867351666432.0000000000,4.6485814474,-1.8824326131,0.7839531887,0.4057187447,0.7023748095,0.4956589298,-0.310457972325
1403636867401666560.0000000000,4.6519627794,-1.8833581917,0.7859830078,0.4038588200,0.7033612186,0.4975804224,-0.307562632506
1403636867451666432.0000000000,4.6554979869,-1.8848997888,0.7886318977,0.4008279334,0.7054298784,0.4994560702,-0.30372567939
1403636867501666560.0000000000,4.6591316787,-1.8862301594,0.7911233635,0.3965688821,0.7085861410,0.5019780504,-0.29775298401
1403636867551666432.0000000000,4.6639430627,-1.8876559000,0.7920193817,0.3890932501,0.7127257266,0.5072288216,-0.288699504532
1403636867601666560.0000000000,4.6692752520,-1.8890454551,0.7916886599,0.3766868470,0.7190832961,0.5136083389,-0.277907730709
1403636867651666432.0000000000,4.6752201245,-1.8908323357,0.7900856900,0.3588475163,0.7277994679,0.5206778823,-0.265388276799
1403636867701666560.0000000000,4.6814488293,-1.8928706937,0.7878380380,0.3365457290,0.7384865020,0.5276455837,-0.250927871356
1403636867751666432.0000000000,4.6878839406,-1.8946102031,0.7848777057,0.3130332755,0.7493642023,0.5343561380,-0.234365054044
1403636867801666560.0000000000,4.6934708234,-1.8955364388,0.7823180832,0.2919964031,0.7591988596,0.5394973455,-0.21748058851
1403636867851666432.0000000000,4.6973363415,-1.8959656328,0.7805743707,0.2753882138,0.7676747155,0.5413291664,-0.204449496364
1403636867901666560.0000000000,4.6991888999,-1.8961209462,0.7804776358,0.2655086407,0.7726732638,0.5419972759,-0.196774342844
1403636867951666432.0000000000,4.6990759334,-1.8962982821,0.7817667503,0.2622644916,0.7757448384,0.5400016897,-0.194513385761
1403636868001666560.0000000000,4.6984038463,-1.8966255629,0.7839051416,0.2643808444,0.7757511447,0.5383538545,-0.196183735358
1403636868051666432.0000000000,4.6973113624,-1.8968363375,0.7867013794,0.2700139669,0.7744610019,0.5359291333,-0.200206339293
1403636868101666560.0000000000,4.6969586084,-1.8972769229,0.7891071170,0.2764521504,0.7720694073,0.5343701442,-0.204772038803
1403636868151666432.0000000000,4.6970838904,-1.8979207387,0.7909805579,0.2816996712,0.7700375874,0.5329554275,-0.208916063157
1403636868201666560.0000000000,4.6982987353,-1.8992019099,0.7922385979,0.2838364955,0.7688919534,0.5321691722,-0.212221535006
1403636868251666432.0000000000,4.7000449496,-1.9006804415,0.7929331205,0.2843325942,0.7683498987,0.5322866066,-0.213223773296
1403636868301666560.0000000000,4.7022204985,-1.9033286159,0.7934165753,0.2828702218,0.7697160149,0.5307839661,-0.213986156827
1403636868351666432.0000000000,4.7047542625,-1.9067680006,0.7937126267,0.2803578158,0.7712124184,0.5301683596,-0.213430108673
1403636868401666560.0000000000,4.7070062142,-1.9106831371,0.7940293365,0.2793559911,0.7725607255,0.5286565394,-0.213617459413
1403636868451666432.0000000000,4.7090450698,-1.9152362935,0.7944519722,0.2811129308,0.7729376000,0.5267071391,-0.214761673234
1403636868501666560.0000000000,4.7107859852,-1.9193775563,0.7955680843,0.2860892049,0.7720092182,0.5250716409,-0.215533073589
1403636868551666432.0000000000,4.7122792259,-1.9232154184,0.7975305979,0.2922375845,0.7713258832,0.5223136050,-0.216430298684
1403636868601666560.0000000000,4.7136704758,-1.9269405613,0.8002109444,0.2964074398,0.7716700879,0.5189822221,-0.217543922549
1403636868651666432.0000000000,4.7156823815,-1.9302054981,0.8028646077,0.2979467620,0.7723474867,0.5170744317,-0.21758014349
1403636868701666560.0000000000,4.7185711173,-1.9334508064,0.8046495887,0.2972288544,0.7731723387,0.5169083323,-0.21602156995
1403636868751666432.0000000000,4.7220382845,-1.9370810504,0.8056269252,0.2943779915,0.7729659936,0.5195962645,-0.214207592677
1403636868801666560.0000000000,4.7253353479,-1.9407050980,0.8055895174,0.2913403507,0.7727671684,0.5225771707,-0.21181313503
1403636868851666432.0000000000,4.7279278748,-1.9436216336,0.8054732117,0.2900713501,0.7721071078,0.5253846831,-0.208997992052
1403636868901666560.0000000000,4.7291070632,-1.9460863554,0.8057007639,0.2917331762,0.7709059373,0.5268570096,-0.207406559838
1403636868951666432.0000000000,4.7292803179,-1.9487880709,0.8062013518,0.2940740494,0.7698171096,0.5266611277,-0.20863874946
1403636869001666560.0000000000,4.7287855213,-1.9512584435,0.8072544915,0.2954288958,0.7680320609,0.5270584783,-0.212268418021
1403636869051666432.0000000000,4.7284314926,-1.9533680030,0.8082154465,0.2957934991,0.7670122035,0.5267209439,-0.216248775184
1403636869101666560.0000000000,4.7278452735,-1.9552951297,0.8091407973,0.2959285342,0.7657842723,0.5270709771,-0.219538005995
1403636869151666432.0000000000,4.7277724991,-1.9574218397,0.8090922049,0.2954868324,0.7651970512,0.5271457509,-0.221987301444
1403636869201666560.0000000000,4.7277042587,-1.9588006531,0.8084137432,0.2949316180,0.7641535584,0.5287216343,-0.222571591415
1403636869251666432.0000000000,4.7268588133,-1.9595881150,0.8076613676,0.2946332215,0.7638158803,0.5293944524,-0.222526581621
1403636869301666560.0000000000,4.7263147428,-1.9599684772,0.8067899455,0.2945278483,0.7632059773,0.5303843918,-0.222401393492
1403636869351666432.0000000000,4.7254542368,-1.9604215401,0.8062275171,0.2941011420,0.7630582169,0.5304387098,-0.223341556683
1403636869401666560.0000000000,4.7247911017,-1.9604755076,0.8056957209,0.2940906679,0.7625940748,0.5309582251,-0.223705876776
1403636869451666432.0000000000,4.7242368462,-1.9601679316,0.8052719962,0.2938416204,0.7625000088,0.5310294703,-0.224184166139
1403636869501666560.0000000000,4.7240979940,-1.9587520390,0.8048602450,0.2940660466,0.7625897204,0.5308159554,-0.224090383694
1403636869551666432.0000000000,4.7243481140,-1.9557266868,0.8044280776,0.2943858038,0.7626499012,0.5306148485,-0.223941977599
1403636869601666560.0000000000,4.7250378133,-1.9506692237,0.8039665233,0.2940890861,0.7631812470,0.5301771040,-0.223558117614
1403636869651666432.0000000000,4.7263205438,-1.9431546696,0.8035143800,0.2931878596,0.7635951184,0.5306221317,-0.222269042873
1403636869701666560.0000000000,4.7280658668,-1.9330313776,0.8027992700,0.2920125027,0.7650086963,0.5301462107,-0.220080412743
1403636869751666432.0000000000,4.7298872088,-1.9204828333,0.8023792916,0.2909959206,0.7663842868,0.5295681159,-0.21802318622
1403636869801666560.0000000000,4.7313439001,-1.9054514263,0.8020899451,0.2913935817,0.7678369221,0.5277372403,-0.216817081325
