#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403636580863555584.0000000000,4.6650211767,-1.8472146877,0.7812067206,0.4502123789,0.6912148472,0.4743667630,-0.307419945794
1403636580913555456.0000000000,4.6629522096,-1.8453728663,0.8207579572,0.4591252838,0.6879037538,0.4717034923,-0.305758425422
1403636580963555584.0000000000,4.6609846259,-1.8447596485,0.8600052598,0.4660445575,0.6843175905,0.4693424141,-0.306968409074
1403636581013555456.0000000000,4.6596583694,-1.8446723346,0.8972069305,0.4713357532,0.6806165727,0.4677468540,-0.309542516151
1403636581063555584.0000000000,4.6584695461,-1.8448832918,0.9323025417,0.4752778607,0.6776230401,0.4653955749,-0.313599951262
1403636581113555456.0000000000,4.6567707371,-1.8438028560,0.9652596168,0.4796463782,0.6751678155,0.4622955238,-0.316813227926
1403636581163555584.0000000000,4.6556223951,-1.8430375195,0.9955650996,0.4841999557,0.6731014856,0.4573074353,-0.321488262013
1403636581213555456.0000000000,4.6551355257,-1.8415718393,1.0225625975,0.4891932100,0.6703409953,0.4529863730,-0.325785664578
1403636581263555584.0000000000,4.6553100964,-1.8405548393,1.0461137821,0.4942368675,0.6673200214,0.4481619213,-0.33100574038
1403636581313555456.0000000000,4.6569095013,-1.8399190938,1.0639175259,0.4993648206,0.6632089510,0.4461463972,-0.334278410279
1403636581363555584.0000000000,4.6586259151,-1.8398263352,1.0738669267,0.5030624088,0.6608493236,0.4440118006,-0.336243818246
1403636581413555456.0000000000,4.6607757299,-1.8391279976,1.0744901898,0.5056788647,0.6598235611,0.4441487866,-0.334146089982
1403636581463555584.0000000000,4.6631142052,-1.8386877869,1.0659636925,0.5056610717,0.6600755252,0.4462786578,-0.33082101091
1403636581513555456.0000000000,4.6656575418,-1.8384611738,1.0492260766,0.5036646983,0.6617892103,0.4492946439,-0.326329949369
1403636581563555584.0000000000,4.6671015434,-1.8384954213,1.0261007203,0.4994425698,0.6655796249,0.4503608598,-0.323629384298
1403636581613555456.0000000000,4.6685127859,-1.8387733808,0.9986153796,0.4942885324,0.6689230252,0.4523267921,-0.321902634829
1403636581663555584.0000000000,4.6697485696,-1.8389791244,0.9680789477,0.4899133836,0.6721475922,0.4528350304,-0.321158724061
1403636581713555456.0000000000,4.6714020867,-1.8384458341,0.9361128152,0.4878424601,0.6728077815,0.4555164101,-0.319130417483
1403636581763555584.0000000000,4.6731657492,-1.8384989389,0.9033135722,0.4854743284,0.6740080915,0.4555485216,-0.320161386783
1403636581813555456.0000000000,4.6759169156,-1.8397860467,0.8702705074,0.4830638064,0.6737530482,0.4575230503,-0.32152581156
1403636581863555584.0000000000,4.6786374123,-1.8412498240,0.8369674237,0.4807839480,0.6747606350,0.4584005004,-0.321580257632
1403636581913555456.0000000000,4.6789098604,-1.8380702615,0.8001037439,0.4760575121,0.6774496252,0.4593379990,-0.321620666457
1403636581963555584.0000000000,4.6811060719,-1.8394680876,0.7678572354,0.4720695674,0.6817977012,0.4597941574,-0.317634303746
1403636582013555456.0000000000,4.6827184977,-1.8407854533,0.7374569596,0.4669531920,0.6867695511,0.4605834784,-0.313313197384
1403636582063555584.0000000000,4.6845440892,-1.8424677579,0.7100893352,0.4619379613,0.6910211345,0.4629213875,-0.307907292103
1403636582113555456.0000000000,4.6864177192,-1.8444039956,0.6874845691,0.4561609730,0.6942993902,0.4664731512,-0.303757012541
1403636582163555584.0000000000,4.6880835090,-1.8470605446,0.6715031647,0.4501768467,0.6971475546,0.4692614176,-0.301860589863
1403636582213555456.0000000000,4.6891591032,-1.8492694573,0.6629683725,0.4455292949,0.6988377916,0.4723171530,-0.300076482574
1403636582263555584.0000000000,4.6889563220,-1.8505991866,0.6629868294,0.4426625338,0.6999479389,0.4740794436,-0.298950573031
1403636582313555456.0000000000,4.6875128361,-1.8515523631,0.6724144801,0.4412190252,0.6999608359,0.4750752271,-0.299473084755
1403636582363555584.0000000000,4.6853306676,-1.8524845822,0.6904417901,0.4422588509,0.6989095844,0.4741915863,-0.301786085126
1403636582413555456.0000000000,4.6828575878,-1.8532336282,0.7145279947,0.4465133834,0.6960274321,0.4722736895,-0.305170729931
1403636582463555584.0000000000,4.6800233910,-1.8534587651,0.7424402375,0.4517663182,0.6928928083,0.4693560191,-0.30904963568
1403636582513555456.0000000000,4.6769995062,-1.8528007494,0.7726710934,0.4575838376,0.6895306911,0.4678377566,-0.310309992018
1403636582563555584.0000000000,4.6739380479,-1.8519962549,0.8046517355,0.4620053163,0.6877136221,0.4654997802,-0.311305342493
1403636582613555456.0000000000,4.6713172136,-1.8505469065,0.8369736729,0.4661899190,0.6862379573,0.4645350754,-0.309760535102
1403636582663555584.0000000000,4.6689739902,-1.8491169488,0.8698644611,0.4691330559,0.6859808668,0.4624915396,-0.308943363836
1403636582713555456.0000000000,4.6669567150,-1.8475400173,0.9022681926,0.4710961986,0.6855959864,0.4606653507,-0.30953828463
1403636582763555584.0000000000,4.6641369394,-1.8450330233,0.9350271380,0.4737627358,0.6856172229,0.4571780902,-0.310589902665
1403636582813555456.0000000000,4.6612415428,-1.8419590174,0.9669980498,0.4776873060,0.6856278521,0.4522216783,-0.311808979778
