#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403715888384058112.0000000000,0.9080302787,2.0913569065,0.9301217440,0.3470018900,0.5477973657,-0.6209279080,0.440404663327
1403715888434057984.0000000000,0.9082768931,2.0908487500,0.9298010705,0.3469776734,0.5477940397,-0.6209674630,0.440372108768
1403715888484058112.0000000000,0.9084458504,2.0904659551,0.9295440871,0.3469659421,0.5478223888,-0.6209793275,0.440329354224
1403715888534057984.0000000000,0.9085648834,2.0902215552,0.9293704457,0.3470085602,0.5478222586,-0.6209905191,0.440280146339
1403715888584058112.0000000000,0.9086428495,2.0900649758,0.9292402184,0.3469500113,0.5478489412,-0.6210240493,0.440245792112
1403715888634057984.0000000000,0.9086788275,2.0899940660,0.9291810783,0.3469458419,0.5478257090,-0.6210598133,0.440227536298
1403715888684058112.0000000000,0.9086778239,2.0899783264,0.9291674663,0.3469134261,0.5478480225,-0.6210671578,0.440214952595
1403715888734057984.0000000000,0.9086430992,2.0899988765,0.9291711056,0.3469313334,0.5478433892,-0.6210905336,0.440173624684
1403715888784058112.0000000000,0.9085780048,2.0900376953,0.9291776708,0.3469018898,0.5478820151,-0.6210927534,0.440145621328
1403715888834057984.0000000000,0.9085268865,2.0900926152,0.9291975119,0.3468845792,0.5478879687,-0.6211204233,0.440112806254
1403715888884058112.0000000000,0.9085014326,2.0901411911,0.9291929812,0.3468663041,0.5479041852,-0.6211372301,0.440083301487
1403715888934057984.0000000000,0.9084830189,2.0901784731,0.9292156044,0.3468657774,0.5479071089,-0.6211552739,0.440054608173
1403715888984058112.0000000000,0.9084416752,2.0901902621,0.9292354240,0.3468533268,0.5479078718,-0.6211793745,0.440029451779
1403715889034057984.0000000000,0.9084135359,2.0902050476,0.9292465834,0.3468231604,0.5479328765,-0.6211754918,0.440027574788
1403715889084058112.0000000000,0.9084129812,2.0902437604,0.9292576563,0.3467947446,0.5479431151,-0.6211934071,0.44001193031
1403715889134057984.0000000000,0.9084189684,2.0902615521,0.9292627463,0.3467623155,0.5479566277,-0.6212144755,0.439990915961
1403715889184058112.0000000000,0.9084179120,2.0902798477,0.9292838453,0.3467734600,0.5479471530,-0.6212137467,0.439994961133
1403715889234057984.0000000000,0.9084272970,2.0902796382,0.9292686118,0.3467246014,0.5479660217,-0.6212329005,0.439982923735
1403715889284058112.0000000000,0.9084126360,2.0902873498,0.9292506407,0.3467004284,0.5479761318,-0.6212465636,0.439970088884
1403715889334057984.0000000000,0.9083940374,2.0902986636,0.9292176270,0.3466993852,0.5480038929,-0.6212344166,0.439953485461
1403715889384058112.0000000000,0.9083699500,2.0902892640,0.9292208258,0.3466823743,0.5480221941,-0.6212338236,0.439944931256
1403715889434057984.0000000000,0.9083681957,2.0902539110,0.9292301297,0.3466589454,0.5480062291,-0.6212474893,0.43996398205
1403715889484058112.0000000000,0.9083763756,2.0902451084,0.9292244666,0.3466613595,0.5479910598,-0.6212578298,0.439966372756
1403715889534057984.0000000000,0.9083955869,2.0902757143,0.9292294379,0.3466726015,0.5479783981,-0.6212637594,0.439964912048
1403715889584058112.0000000000,0.9083956680,2.0903121671,0.9292273365,0.3466571080,0.5479960521,-0.6212598091,0.439960709688
1403715889634057984.0000000000,0.9084120504,2.0903374000,0.9292402831,0.3466685944,0.5480029991,-0.6212471687,0.439960855163
1403715889684058112.0000000000,0.9084281375,2.0903407436,0.9292574707,0.3466502498,0.5479963964,-0.6212601465,0.439965207933
1403715889734057984.0000000000,0.9083594465,2.0904471481,0.9292774502,0.3467754528,0.5480761031,-0.6212085397,0.439840108179
1403715889784058112.0000000000,0.9082989093,2.0904168633,0.9292679480,0.3466873493,0.5480390664,-0.6213025408,0.439822937408
1403715889834057984.0000000000,0.9082771658,2.0903808756,0.9293224840,0.3467336097,0.5479040283,-0.6212371829,0.440046977464
1403715889884058112.0000000000,0.9082678075,2.0903636617,0.9293252771,0.3467811935,0.5478319110,-0.6212624967,0.440063530972
1403715889934057984.0000000000,0.9083292973,2.0903213918,0.9293291141,0.3466860019,0.5476284580,-0.6213810527,0.440224346699
1403715889984058112.0000000000,0.9083398576,2.0902702735,0.9293350593,0.3465740978,0.5476023666,-0.6214494681,0.440248340637
1403715890034057984.0000000000,0.9083593596,2.0902520282,0.9293703648,0.3466231499,0.5475735153,-0.6215507200,0.440102646827
1403715890084058112.0000000000,0.9083582794,2.0901820451,0.9293660618,0.3466305782,0.5476421390,-0.6214989351,0.440084541449
1403715890134057984.0000000000,0.9083645147,2.0901224339,0.9293883854,0.3466708676,0.5475345340,-0.6216395339,0.439988106183
1403715890184058112.0000000000,0.9083475777,2.0900749611,0.9294002145,0.3467105793,0.5476744329,-0.6215012760,0.439978014991
1403715890234057984.0000000000,0.9083526610,2.0900477047,0.9293814480,0.3466719844,0.5476571935,-0.6214873146,0.440049601107
1403715890284058112.0000000000,0.9083610857,2.0900757981,0.9293607969,0.3465799106,0.5477060553,-0.6216414136,0.439843603317
1403715890334057984.0000000000,0.9083498348,2.0901235399,0.9293455502,0.3465488135,0.5478950023,-0.6215164522,0.439809374561
1403715890384058112.0000000000,0.9083812896,2.0901576958,0.9293560273,0.3466695750,0.5478320224,-0.6215730589,0.439712648754
